src,tgt
25-1-1=,23
29-27*18=,-457
1*10-24=,-14
13-2+0=,11
8+14*18=,260
0*8*12=,0
19*5-13=,82
24+14+14=,52
6-29*2=,-52
28-14+13=,27
22-2*3=,16
6-29+13=,-10
6-15+11=,2
15*23*24=,8280
7+25+10=,42
16+13+11=,40
5*29+5=,150
12*23-26=,250
10*25*4=,1000
13*0-6=,-6
24*22*11=,5808
18+27-29=,16
11-25*19=,-464
26*9*23=,5382
1+5-27=,-21
25-20-15=,-10
9*4-1=,35
7*28*23=,4508
5+23*19=,442
2-2*16=,-30
24-3+25=,46
12-20+18=,10
17-29*27=,-766
29-5+1=,25
11+7-4=,14
25*0*12=,0
11-5*20=,-89
13*27-4=,347
28+6*29=,202
13-23+0=,-10
18*21*21=,7938
7*24-21=,147
16+19*1=,35
28+1-12=,17
4+0-17=,-13
21+5+21=,47
26-3+18=,41
13*22+13=,299
25*16*4=,1600
26-18-15=,-7
25+10*10=,125
5*8-0=,40
29+1*10=,39
9*3+19=,46
21+17+7=,45
18-16+8=,10
28-7*15=,-77
0*22+11=,11
22*5+29=,139
21-11*27=,-276
20+9+28=,57
3+4*19=,79
4*6-17=,7
5*11-14=,41
12+18*18=,336
2-24*18=,-430
26+22*15=,356
29-0*5=,29
18+4+25=,47
2+2-2=,2
29-26+20=,23
20-13*5=,-45
11+15-3=,23
13+12*2=,37
17+14*2=,45
7+10*25=,257
9+3+26=,38
9-11*5=,-46
11-4+0=,7
22+9*26=,256
7*15*12=,1260
11-3+16=,24
20+18-28=,10
23+13+22=,58
17+13*11=,160
6*20-1=,119
18*0-19=,-19
13+5+5=,23
7-21-18=,-32
16-25-13=,-22
25+24*26=,649
12+15-10=,17
12-0+2=,14
5+28*8=,229
18-21+27=,24
5-10-0=,-5
28-3+21=,46
10*23+11=,241
28*0+15=,15
29*18-19=,503
2*12*25=,600
20*3*22=,1320
24-25+29=,28
18-2*29=,-40
18+29-28=,19
28+4+20=,52
26*5+7=,137
2+29-26=,5
12+2+4=,18
1-10*28=,-279
29-3-10=,16
12*6-28=,44
4+25+1=,30
5-28+3=,-20
28-20*27=,-512
13+22*23=,519
18-11+12=,19
11+12-12=,11
23+26*17=,465
27-12-18=,-3
4-17-15=,-28
29-5+5=,29
1-29-13=,-41
3*20*18=,1080
18-0-27=,-9
12-10*15=,-138
5*13*10=,650
20*14+15=,295
13+9*8=,85
19*7*13=,1729
24-5+15=,34
21*9+3=,192
22-3*15=,-23
2*7-17=,-3
16-18+3=,1
24+0*2=,24
17-15+22=,24
13+3+3=,19
25*1+5=,30
8*3-2=,22
4*29+26=,142
8-19*11=,-201
5-5+9=,9
11+21+4=,36
10+14*28=,402
9-4+14=,19
24+21+7=,52
13+14*9=,139
28-24-10=,-6
15+24+8=,47
16*19+12=,316
10-27-14=,-31
18*10*11=,1980
9-19*14=,-257
13-12-9=,-8
6-21*25=,-519
14+24-21=,17
13+23+10=,46
6-24-15=,-33
28+12+21=,61
26-10+10=,26
10*27+4=,274
26+10*25=,276
21-19*25=,-454
15*9*19=,2565
14+1-9=,6
20-12+5=,13
0-22+9=,-13
26-25+7=,8
1+19-13=,7
6*13-5=,73
17*24*10=,4080
1*8*8=,64
9-17*14=,-229
16+15+7=,38
11+2*14=,39
24-14-26=,-16
12-11*27=,-285
0+27-16=,11
28+0-6=,22
8*19-10=,142
21-17*27=,-438
26*4+24=,128
4+26+18=,48
0+9+18=,27
12-22+9=,-1
29*7*8=,1624
4*18+2=,74
18+3+19=,40
29*16+24=,488
20+22*24=,548
25*6-9=,141
26+21+16=,63
18-11*4=,-26
20*27-20=,520
12-25*6=,-138
22+9-21=,10
13+8*12=,109
17*19*21=,6783
16-27+9=,-2
10-16+12=,6
7*21*26=,3822
2+6-21=,-13
5*3*26=,390
0*4+16=,16
24+2*14=,52
25+29-5=,49
10*29*16=,4640
12*23+24=,300
3+29-17=,15
24*26-11=,613
8*24+0=,192
26-16-2=,8
4-27-21=,-44
13-1+14=,26
5-2+24=,27
2+5-6=,1
15+9-6=,18
7+29-25=,11
18-13+25=,30
3+22-24=,1
21*15-28=,287
12+19*23=,449
27-21*16=,-309
19-5-16=,-2
